measure,label,family,level,unit,description,interpretation,requires,references
normative_transition_proportion,Transitions in the normal band,turn_taking,dyad,proportion,Proportion of floor transfers whose offset falls within one second of zero -- the band that contains the vast majority of transitions in every language studied.,"Low values mean the conversation ran outside the timing envelope conversation normally lives in -- long silences, heavy overlap, or both. Check the gap and overlap measures to see which.",turn_set,"Stivers et al. (2009) PNAS 106:10587 -- universals and cultural variation in turn-taking | Heldner & Edlund (2010) J. Phonetics 38:555 -- pauses, gaps and overlaps in conversations"
overlap_proportion,Proportion of simultaneous speech,turn_taking,dyad,proportion,Share of the conversation in which both people were speaking at once.,"Includes both competitive interruption and collaborative overlap, which the interruption measures separate.","turn_set, overlap_evidence",
question_response_latency,Response latency after questions,turn_taking,person,s,Median floor-transfer offset of this person's responses to turns the partner ended as a question. At least five question-responses required; compare against response_latency_median to see the mobilization effect.,"Questions mobilize response (Stivers & Rossano 2010): latencies after questions run shorter than after statements, and answers delivered slowly are heard as unwilling or uncertain (Kendrick & Torreira 2015). Compare with the person's overall median latency.","turn_set, transcript",Stivers & Rossano (2010) Res. Lang. Soc. Interact. 43:3 -- mobilizing response | Kendrick & Torreira (2015) Discourse Process. 52:255
response_latency_asymmetry,Response latency asymmetry,turn_taking,dyad,s,Person A's median response latency minus person B's. Positive means A consistently takes longer to come in than B does.,Large asymmetry indicates one partner is driving the pace. Sign is fixed as A minus B so that values are comparable across sessions.,turn_set,
response_latency_iqr,Response latency variability,turn_taking,person,s,"Interquartile range of this person's floor transfer offsets. Measures how consistent their timing is, independently of how fast it is.",A narrow range means the person responds on a predictable rhythm. IQR is used rather than SD because latency distributions are strongly right-skewed and a single long pause would dominate an SD.,turn_set,"Stivers et al. (2009) PNAS 106:10587 -- universality of ~200 ms turn transitions | Heldner & Edlund (2010) J. Phonetics 38:555 -- pauses, gaps and overlaps"
response_latency_median,Median response latency,turn_taking,person,s,Median floor transfer offset for turns in which this person is the responder: the signed interval between the partner's turn ending and this person starting. Negative values mean they began before the partner finished.,"Shorter latencies indicate tighter coordination and typically accompany agreement and engagement; markedly long latencies precede dispreferred responses. Neither extreme is simply better. Faster responding predicts felt connection between strangers (Templeton et al. 2022), but long gaps lose that negative meaning between friends (Templeton et al. 2023) -- interpret against relationship.",turn_set,"Stivers et al. (2009) PNAS 106:10587 -- universality of ~200 ms turn transitions | Heldner & Edlund (2010) J. Phonetics 38:555 -- pauses, gaps and overlaps | Templeton, Chang, Reynolds, Cone LeBeaumont & Wheatley (2022) PNAS 119:e2116915119 -- fast response times signal social connection | Templeton et al. (2023) Phil. Trans. R. Soc. B 378:20210471 -- long gaps are awkward for strangers but not friends"
silence_proportion,Proportion of mutual silence,turn_taking,dyad,proportion,Share of the conversation in which neither person was speaking.,Includes both between-turn gaps and within-turn pauses. High values in a getting-acquainted conversation usually indicate difficulty sustaining the exchange.,turn_set,
silence_rate,Rate of mutual silences,turn_taking,dyad,per minute,Number of mutual silences longer than 500 ms per minute. Brief articulatory gaps are excluded.,,turn_set,
silent_time,Time spent not speaking,turn_taking,person,seconds,"Total seconds this person was not speaking, whether the partner was talking or nobody was.",The complement of speaking time. Most of it is ordinary listening rather than reticence -- in a two-person conversation each person is silent for most of it by construction.,turn_set,
speaking_time,Time spent speaking,turn_taking,person,seconds,"Total seconds this person was speaking, including their speech during overlap and their backchannels.",The raw quantity behind talk-time share. Reported alongside it because a 60/40 split means something different in a three-minute conversation than in a twenty-minute one.,turn_set,
spoke_first,Opened the conversation,turn_taking,person,indicator,"1 for the participant whose turn came first, 0 for the other.","Who began. Not a skill measure on its own -- seating, the experimenter's last words and simple chance all bear on it -- but it conditions everything that follows, since the opener sets the first topic and the other person's first turn is a response.",turn_set,
talk_time_balance,Talk time balance,turn_taking,dyad,index,"How evenly speaking time was shared, as 1 minus the absolute difference in shares. 1.0 is a perfectly even split, 0.0 means one person did all the talking.",Balance is a dyad property and is reported separately from each person's share so that it can be modeled directly.,turn_set,
talk_time_share,Share of speaking time,turn_taking,person,proportion,This person's total speaking time divided by the total speaking time of both participants. Sums to 1 across the dyad.,"0.5 is an even split; values far from it indicate one person dominated. Speaking time is the strongest single predictor of being seen as the leader (the 'babble hypothesis'; MacLaren et al. 2020; Schmid Mast 2002), but liking peaks nearer balance -- the heaviest talkers are not the best liked (Hayes & Meltzer 1972).",turn_set,"Schmid Mast (2002) Human Comm. Res. 28:420 -- dominance and speaking time, a meta-analysis | MacLaren et al. (2020) Leadership Q. 31:101409 -- the babble hypothesis | Hayes & Meltzer (1972) Sociometry 35:538 -- interpersonal judgments based on talkativeness"
turn_count,Number of turns,turn_taking,person,count,Count of floor-holding turns taken by this person.,,turn_set,
turn_duration_matching,Turn-length coupling,turn_taking,dyad,correlation,"Correlation between the length of one partner's turn and the length of the other's immediate response, across all adjacent turn pairs. Positive is matching, negative is compensation. At least ten pairs required.","Little questions get little answers: interviewees track an interviewer's utterance lengths (Matarazzo et al. 1963). But naturalistic dyads also show the opposite -- a quiet partner ceding room to a talkative one (Cappella & Planalp 1981) -- so the sign is reported, not assumed.",turn_set,"Matarazzo, Weitman, Saslow & Wiens (1963) J. Verbal Learning Verbal Behav. 1:451 -- interviewer influence on speech durations | Cappella & Planalp (1981) Human Comm. Res. 7:117 -- talk and silence sequences: mutual influence and compensation"
turn_duration_variability,Turn duration variability,turn_taking,person,ratio,Coefficient of variation of this person's turn durations: the standard deviation divided by the mean.,Low values mean uniformly sized contributions; high values mean a mix of brief replies and extended stretches.,turn_set,
turn_rate,Turn rate,turn_taking,person,per minute,Floor-holding turns taken per minute of conversation.,"High turn rates indicate rapid exchange; low rates indicate longer, monologue-like contributions.",turn_set,
turn_transition_overlap_rate,Rate of overlapping turn onsets,turn_taking,person,per minute,"Turns this person began before the partner had finished, per minute. Counts all early onsets, whether competitive or not.",,"turn_set, overlap_evidence",
within_turn_pause_rate,Within-turn pause rate,turn_taking,person,per minute,"Pauses inside this person's own turns, per minute of their speaking time. These are hesitations rather than floor transfers.","Distinguished from between-turn silence because the two have different causes: one is planning difficulty, the other coordination.",turn_set,
